table,join_col,size_tier,type,rows,cols,scan_ms,recommendation,profiled_at,map_duplicates
master_cohort,research_id,medium,view,11673,68,145,⚠ VIEW in hot-path – materialize as TABLE for performance: CREATE OR REPLACE TABLE master_cohort_mat AS SELECT * FROM master_cohort;,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
manuscript_cohort_v1,research_id,medium,base table,10871,278,25,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
patient_analysis_resolved_v1,research_id,medium,base table,10871,268,25,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
episode_analysis_resolved_v1_dedup,research_id,medium,base table,9368,82,27,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
thyroid_scoring_py_v1,research_id,medium,base table,10871,102,24,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
analysis_cancer_cohort_v1,research_id,small,base table,4136,272,25,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
operative_episode_detail_v2,research_id,medium,base table,9371,78,27,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
rai_treatment_episode_v2,research_id,small,base table,1857,64,24,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
molecular_test_episode_v2,research_id,medium,base table,10126,84,24,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
survival_cohort_enriched,research_id,large,base table,61134,54,23,CREATE OR REPLACE TABLE survival_cohort_enriched_sorted AS SELECT * FROM survival_cohort_enriched ORDER BY research_id;,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
longitudinal_lab_canonical_v1,research_id,medium,base table,39961,36,24,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
clinical_notes_long,research_id,large,base table,11037,36,24,CREATE OR REPLACE TABLE clinical_notes_long_sorted AS SELECT * FROM clinical_notes_long ORDER BY research_id;,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
note_entities_complications,research_id,large,base table,9359,76,26,CREATE OR REPLACE TABLE note_entities_complications_sorted AS SELECT * FROM note_entities_complications ORDER BY research_id;,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
note_entities_staging,research_id,large,base table,3807,76,25,CREATE OR REPLACE TABLE note_entities_staging_sorted AS SELECT * FROM note_entities_staging ORDER BY research_id;,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
fna_episode_master_v2,research_id,large,base table,59620,36,25,CREATE OR REPLACE TABLE fna_episode_master_v2_sorted AS SELECT * FROM fna_episode_master_v2 ORDER BY research_id;,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
path_synoptics,research_id,medium,base table,11688,1068,25,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
tumor_episode_master_v2,research_id,medium,base table,11691,74,35,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
streamlit_patient_header_v,research_id,medium,base table,11977,28,25,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
imaging_nodule_master_v1,research_id,medium,base table,19891,50,24,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
linkage_summary_v3,research_id,small,base table,5,16,28,OK,2026-03-15T00:22:25.135342,"[""md_pathology_recon_review_v2"", ""md_molecular_linkage_review_v2"", ""md_rai_adjudication_review_v2"", ""md_imaging_path_concordance_v2"", ""md_op_path_recon_review_v2"", ""md_lineage_audit_v1""]"
