metric_id,metric_name,canonical_value,numerator,denominator,denominator_label,source_table,source_script,sql_fragment,population_label,table_reference,figure_reference,caveats,frozen_date
total_surgical_patients,Total surgical patients,10871,10871,10871,full_surgical_cohort,path_synoptics,57_freeze_manuscript_cohort.py,COUNT(DISTINCT research_id) FROM path_synoptics,Full surgical cohort,Table 1,Fig 1,,2026-03-13
analysis_eligible_cancer,Analysis-eligible cancer patients,4136,4136,10871,all_resolved_patients,patient_analysis_resolved_v1,57_freeze_manuscript_cohort.py,WHERE analysis_eligible_flag IS TRUE,Analysis-eligible cancer patients,Tables 1-3,Figs 2-5,Confirmed malignancy + complete staging required,2026-03-13
recurrence_any,Any recurrence (structural or biochemical),1986,1986,10871,full_surgical_cohort,extracted_recurrence_refined_v1,Phase 8 engine v6,WHERE recurrence_any IS TRUE,Any recurrence (structural or biochemical),Table 3,,88.8% lack day-level dates; structural_confirmed=54 biochemical=168 date_unknown=1764,2026-03-13
recurrence_structural,Structural recurrence,1818,1818,10871,full_surgical_cohort,extracted_recurrence_refined_v1,Phase 8 engine v6,detection_category IN (structural_confirmed structural_date_unknown),Structural recurrence,Table 3,,,2026-03-13
recurrence_biochemical,Biochemical recurrence (Tg trajectory),115,115,10871,full_surgical_cohort,extracted_recurrence_refined_v1,Phase 8 engine v6,detection_category = biochemical_only,Biochemical recurrence (Tg trajectory),Table 3,,Rising Tg >1.0 and >2x nadir without structural disease,2026-03-13
braf_positive,BRAF mutation positive,376,376,10025,molecular_tested_patients,extracted_braf_recovery_v1,Phase 11 engine v9,WHERE braf_status = positive,BRAF mutation positive,Table 2,Fig 4,Structured + NLP-confirmed; NLP requires explicit positive qualifier,2026-03-13
ras_positive,RAS mutation positive (NRAS+HRAS+KRAS),292,292,10025,molecular_tested_patients,extracted_ras_patient_summary_v1,Phase 11 engine v9,WHERE ras_positive IS TRUE,RAS mutation positive (NRAS+HRAS+KRAS),Table 2,Fig 4,ras_flag in molecular_test_episode_v2 is FALSE (bug); use extracted table exclusively,2026-03-13
tert_positive,TERT promoter mutation positive,108,108,10025,molecular_tested_patients,patient_refined_master_clinical_v12,Phase 9 engine v7,tert_positive column,TERT promoter mutation positive,Table 2,Fig 4,Structured molecular sources only,2026-03-13
molecular_tested,Patients with any molecular panel result,10025,10025,10871,full_surgical_cohort,extracted_molecular_panel_v1,Phase 7 engine v5,COUNT(DISTINCT research_id),Patients with any molecular panel result,Table 2,Fig 4,Includes ThyroSeq Afirma IHC PCR FISH,2026-03-13
rai_treated_strict,RAI receipt confirmed with dose,35,35,10871,full_surgical_cohort,extracted_rai_validated_v1,Phase 8 engine v6,rai_validation_tier = confirmed_with_dose,RAI receipt confirmed with dose,Table 2,,All 35 are likely_received with dose verification; 0 definite_received,2026-03-13
rai_episodes_total,Total RAI treatment episodes (all certainty),1857,1857,10871,full_surgical_cohort,rai_treatment_episode_v2,script 22,COUNT(*),Total RAI treatment episodes (all certainty),Supplement,,Dose available for 761 (41%); 0 nuclear med notes,2026-03-13
rln_injury_confirmed,Confirmed RLN injury (3-tier refined),59,59,10871,full_surgical_cohort,extracted_rln_injury_refined_v2,RLN refined pipeline,WHERE rln_injury_is_confirmed IS TRUE,Confirmed RLN injury (3-tier refined),Table 3,Fig 5,Tier1=6 laryngoscopy Tier2=19 chart Tier3_confirmed=34,2026-03-13
complication_any,Any confirmed post-op complication,287,287,10871,full_surgical_cohort,patient_refined_complication_flags_v2,Complications refined pipeline,COUNT(DISTINCT research_id),Any confirmed post-op complication,Table 3,Fig 5,Per-entity: RLN=59 hematoma=38 hypoparathyroidism=34 seroma=28 chyle=20 hypocalcemia=18 wound=2,2026-03-13
tirads_coverage,Pre-operative TIRADS available,3474,3474,10871,full_surgical_cohort,extracted_tirads_validated_v1,Phase 12 engine v10,COUNT(DISTINCT research_id),Pre-operative TIRADS available,Supplement,,ACR concordance 80.1%; systematic -1.0 tier mismatch,2026-03-13
survival_cohort,Survival analysis cohort,3201,3201,4136,analysis_eligible_cancer,manuscript_cohort_v1,script 64,analysis_eligible + positive time + recurrence endpoint,Survival analysis cohort,,Fig 2,965 events median 7.4y follow-up,2026-03-13
tg_available,Patients with thyroglobulin labs,2559,2559,10871,full_surgical_cohort,longitudinal_lab_canonical_v1,script 77,DISTINCT research_id WHERE analyte_group=thyroglobulin,Patients with thyroglobulin labs,Supplement,,99.5% date accuracy via specimen_collect_dt,2026-03-13
dedup_episodes,Deduplicated surgery episodes,9368,9368,10871,full_surgical_cohort,episode_analysis_resolved_v1_dedup,script 48,COUNT(*),Deduplicated surgery episodes,Table 2,,146 duplicates removed (multi-pathology per surgery),2026-03-13
scoring_ajcc8,AJCC 8th Edition calculable,4083,4083,10871,full_surgical_cohort,thyroid_scoring_py_v1,script 51b,WHERE ajcc8_calculable_flag IS TRUE,AJCC 8th Edition calculable,Table 2,Fig 3,37.6% of full cohort; higher among analysis-eligible,2026-03-13
scoring_ata,ATA 2015 risk calculable,3144,3144,10871,full_surgical_cohort,thyroid_scoring_py_v1,script 51b,WHERE ata_calculable_flag IS TRUE,ATA 2015 risk calculable,Table 2,Fig 3,28.9% of full cohort,2026-03-13
vascular_invasion_graded,WHO 2022 vascular invasion graded,819,819,3846,vascular_positive_patients,extracted_vascular_grading_v13,Phase 13 engine v11,vasc_grade_final_v13 IN (focal extensive),WHO 2022 vascular invasion graded,Supplement,,4652 remain present_ungraded (synoptic x placeholder); 310 have vessel count,2026-03-13
hypocalcemia_confirmed,Confirmed hypocalcemia,18,18,10871,full_surgical_cohort,patient_refined_complication_flags_v2,Complications refined pipeline,confirmed_hypocalcemia flag,Confirmed hypocalcemia,Table 3,Fig 5,,2026-03-13
hematoma_confirmed,Confirmed hematoma,38,38,10871,full_surgical_cohort,patient_refined_complication_flags_v2,Complications refined pipeline,confirmed_hematoma flag,Confirmed hematoma,Table 3,Fig 5,,2026-03-13
cox_concordance,Cox PH concordance index,0.853,NA,NA,survival_cohort,manuscript_analysis/cox_ph_results.csv,script 64,Multivariable Cox PH,Cox PH concordance index,,,Schoenfeld flags non-proportionality for age stage ata ln_positive,2026-03-13
km_5y_stage_i_ii,5-year survival Stage I/II,0.823,NA,NA,survival_cohort,manuscript_analysis/km_summary.csv,script 64,KM estimator at 5y,5-year survival Stage I/II,,Fig 2,,2026-03-13
km_5y_stage_iii_iv,5-year survival Stage III/IV,0.161,NA,NA,survival_cohort,manuscript_analysis/km_summary.csv,script 64,KM estimator at 5y,5-year survival Stage III/IV,,Fig 2,,2026-03-13
